Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,111.529640,112.514343,109.741875,110.000000,97.162331,10204044
2020-10-22,109.942642,110.956024,108.011475,110.669212,97.753441,8217167
2020-10-23,111.376671,111.491394,110.449333,110.898659,97.956100,4072496
2020-10-26,109.416824,109.847038,106.921608,107.284897,94.764099,7534756
2020-10-27,107.217972,107.284897,105.191208,105.697899,93.362305,6209161
2020-10-28,103.881454,104.904396,101.261948,101.959846,90.060501,9860956
2020-10-29,102.533463,104.818359,101.864243,104.120461,91.968964,7071169
2020-10-30,103.154877,106.883362,103.011475,106.749519,94.291191,8285889
2020-11-02,107.695984,108.824089,107.313576,107.944550,95.346748,5555829
2020-11-03,108.986618,110.564056,108.632889,109.139580,96.402321,4397698
2020-11-04,107.390060,108.900574,106.271507,106.978966,94.493866,6066905
2020-11-05,108.317398,110.219887,108.040154,109.722755,96.917435,5127701
2020-11-06,110.019119,110.038239,108.403442,109.024857,96.300980,5490663
2020-11-09,112.695984,114.474190,110.200768,110.449333,98.973885,9405841
2020-11-10,111.558319,112.973228,111.137665,112.724663,101.012794,5881449
2020-11-11,112.925430,113.145317,111.108986,112.045891,100.404556,4486922
2020-11-12,110.544930,111.252388,108.489487,109.464630,98.091476,6797117
2020-11-13,110.124283,112.208412,109.952202,111.711281,100.104706,4898000
2020-11-16,113.097511,113.336517,111.969406,113.154877,101.398308,5536896
2020-11-17,112.428299,113.326958,111.921608,112.523903,100.832893,4324687
2020-11-18,112.543022,113.652008,111.615677,111.634796,100.036171,4818713
2020-11-19,111.414917,112.284897,110.793503,112.026772,100.387421,3597822
2020-11-20,112.428299,112.848946,111.558319,111.797325,100.181801,5255418
2020-11-23,112.265778,115.219887,112.112808,114.808792,102.880386,5910318
2020-11-24,115.544930,119.244743,115.497131,118.948372,106.589874,8109115
2020-11-25,117.523903,118.862335,116.739960,118.738052,106.401413,4326151
2020-11-27,118.738052,119.799232,118.460800,118.881454,106.529915,2187395
2020-11-30,118.642448,119.502869,117.676865,118.087952,105.818863,6263448
2020-12-01,118.451241,120.296364,117.667305,117.743790,105.510460,5553319
2020-12-02,117.447418,119.158699,117.026772,119.139580,106.761223,3860472
2020-12-03,118.699806,119.369026,117.868073,118.173996,105.895966,4757417
2020-12-04,118.518166,121.778206,118.202675,121.606117,108.971489,5776849
2020-12-07,120.927345,121.386230,119.091782,119.216064,106.829750,8701151
2020-12-08,119.808792,120.774376,119.158699,120.181641,107.695023,5643170
2020-12-09,120.267685,122.074570,120.172081,121.214149,108.620255,6813121
2020-12-10,120.793503,121.347992,119.445503,119.464630,107.052498,5024147
2020-12-11,118.623329,119.990440,118.173996,118.804970,106.461380,4687544
2020-12-14,119.808792,120.688339,118.040154,118.097511,105.827415,5282300
2020-12-15,118.919693,120.391968,118.011475,120.391968,107.883499,4556585
2020-12-16,120.391968,121.003822,119.780113,120.028679,107.557938,4738485
2020-12-17,120.535370,120.544930,119.416824,120.028679,107.557938,3962248
2020-12-18,120.066925,120.841301,119.474190,120.315491,107.814941,7900229
2020-12-21,118.518166,118.718925,116.367111,117.963669,105.707489,6397022
2020-12-22,117.887192,118.757172,117.026772,118.173996,105.895966,4535561
2020-12-23,118.432121,119.703636,118.298279,118.451241,106.144402,2817819
2020-12-24,119.502869,119.598473,118.747612,119.206497,106.821182,1842111
2020-12-28,119.598473,121.032501,118.986618,119.330788,106.932556,3781499
2020-12-29,119.837479,119.961761,117.820267,118.355644,106.058739,3647402
2020-12-30,118.355644,119.359467,118.193115,118.871895,106.521355,3535794
2020-12-31,118.757172,120.487572,118.537285,120.344170,107.840660,3738822
2021-01-04,120.315491,120.382408,117.629066,118.489487,106.178665,5417443
2021-01-05,119.512428,121.108986,119.130020,120.592735,108.063400,6395872
2021-01-06,121.319313,126.080307,121.147224,123.604210,110.761986,8322708
2021-01-07,124.321220,124.722755,122.619499,123.317398,110.504967,4714740
2021-01-08,122.915871,123.632889,121.395790,122.877632,110.110893,4891305
2021-01-11,122.323135,123.977058,122.045891,122.925430,110.153725,5859587
2021-01-12,123.413002,124.139580,122.313576,123.527725,110.693451,3921663
2021-01-13,123.470360,124.043976,120.898659,121.338432,108.731621,8030874
2021-01-14,122.390060,124.435944,121.940727,123.298279,110.487831,7848347
2021-01-15,122.638626,123.556404,122.055450,122.743790,109.990959,5131153
2021-01-19,123.594643,123.891014,122.456978,123.346077,110.530685,5646308
2021-01-20,123.996178,125.296364,122.906311,124.359467,111.438766,5856240
2021-01-21,124.397705,126.424477,124.330788,125.860420,112.783783,13116003
2021-01-22,115.391968,115.391968,112.198853,113.393883,101.612488,39814421
2021-01-25,113.537285,114.282982,112.284897,113.365204,101.586784,14315974
2021-01-26,113.938812,117.198853,113.212234,117.103249,104.936462,11186656
2021-01-27,116.711281,119.302101,116.271507,117.084129,104.919312,12705239
2021-01-28,117.399620,117.782028,114.789673,114.799232,102.871819,8455969
2021-01-29,114.933075,115.965584,113.671127,113.871895,102.040840,12369473
2021-02-01,114.627151,115.630974,113.508606,115.239006,103.265907,6538023
2021-02-02,114.110901,115.678780,114.034416,114.187378,102.323547,6633627
2021-02-03,113.804970,114.531548,112.925430,113.881454,102.049393,7024308
2021-02-04,114.636711,115.774376,113.642448,115.697899,103.677124,4771957
2021-02-05,115.678780,116.453156,115.219887,116.434036,104.336777,4775722
2021-02-08,117.227531,118.527725,117.017204,118.173996,105.895966,6158848
2021-02-09,116.539200,117.208412,115.726578,116.730400,106.000130,4933982
2021-02-10,117.619499,117.982796,115.879539,116.864243,106.121674,5090673
2021-02-11,116.634796,116.835564,115.325050,115.592735,104.967041,5629154
2021-02-12,115.678780,116.022942,114.808792,115.487572,104.871552,4049275
2021-02-16,114.866158,115.296364,114.110901,114.789673,104.237801,6945231
2021-02-17,114.024857,115.258125,113.785851,114.694077,104.151001,4141219
2021-02-18,115.200768,115.621414,114.435944,115.420647,104.810776,5646413
2021-02-19,115.439774,115.449333,113.173996,113.757172,103.300217,6881320
2021-02-22,113.288719,115.803062,113.231361,115.544930,104.923645,6149643
2021-02-23,115.602295,116.013382,114.531548,115.401527,104.793411,4739740
2021-02-24,115.487572,118.059273,115.219887,117.791588,106.963768,6087720
2021-02-25,117.944550,118.881454,116.959846,117.084129,106.321335,5953623
2021-02-26,116.873802,116.873802,113.652008,113.699806,103.248123,9467346
2021-03-01,115.057358,116.940727,114.588913,115.430206,104.819466,5977367
2021-03-02,115.430206,116.539200,114.971321,115.038239,104.463524,4732418
